language_edition,place_affiliation_category,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
dewiki,Portuguese,1,1,703,1638,0.06,0.14,100.0,2.3333
dewiki,no_mapped_place_affiliation,1,1,703,1638,0.06,0.14,100.0,2.3333
dewiki,Dutch,0,3,703,1638,0.18,0.0,0.0,0.0
dewiki,Greek,0,1,703,1638,0.06,0.0,0.0,0.0
dewiki,Ottoman,0,2,703,1638,0.12,0.0,0.0,0.0
dewiki,Slovak,0,1,703,1638,0.06,0.0,0.0,0.0
dewiki,Slovene,0,1,703,1638,0.06,0.0,0.0,0.0
dewiki,South Asian,0,1,703,1638,0.06,0.0,0.0,0.0
enwiki,France,703,1265,950,1638,77.23,74.0,55.57,0.9582
enwiki,mixed_or_ambiguous,142,222,950,1638,13.55,14.95,63.96,1.1033
enwiki,British,21,21,950,1638,1.28,2.21,100.0,1.7266
enwiki,Swiss,17,26,950,1638,1.59,1.79,65.38,1.1258
enwiki,Germany,15,22,950,1638,1.34,1.58,68.18,1.1791
enwiki,Italian,10,18,950,1638,1.1,1.05,55.56,0.9545
enwiki,Anglophone,9,9,950,1638,0.55,0.95,100.0,1.7273
enwiki,Russian,8,16,950,1638,0.98,0.84,50.0,0.8571
enwiki,Spanish,6,11,950,1638,0.67,0.63,54.55,0.9403
enwiki,Swedish,3,4,950,1638,0.24,0.32,75.0,1.3333
enwiki,Danish,2,2,950,1638,0.12,0.21,100.0,1.75
enwiki,Haitian/Caribbean,2,2,950,1638,0.12,0.21,100.0,1.75
enwiki,Polish,2,2,950,1638,0.12,0.21,100.0,1.75
enwiki,Austrian/Habsburg,1,1,950,1638,0.06,0.11,100.0,1.8333
enwiki,Czech,1,1,950,1638,0.06,0.11,100.0,1.8333
enwiki,Dutch,1,3,950,1638,0.18,0.11,33.33,0.6111
enwiki,Estonian,1,1,950,1638,0.06,0.11,100.0,1.8333
enwiki,Hungarian,1,1,950,1638,0.06,0.11,100.0,1.8333
enwiki,Low Countries,1,3,950,1638,0.18,0.11,33.33,0.6111
enwiki,Ottoman,1,2,950,1638,0.12,0.11,50.0,0.9167
enwiki,Portuguese,1,1,950,1638,0.06,0.11,100.0,1.8333
enwiki,Slovene,1,1,950,1638,0.06,0.11,100.0,1.8333
enwiki,no_mapped_place_affiliation,1,1,950,1638,0.06,0.11,100.0,1.8333
enwiki,Greek,0,1,950,1638,0.06,0.0,0.0,0.0
enwiki,Slovak,0,1,950,1638,0.06,0.0,0.0,0.0
enwiki,South Asian,0,1,950,1638,0.06,0.0,0.0,0.0
eswiki,France,319,1265,470,1638,77.23,67.87,25.22,0.8788
