wikidata_id,name,candidate_affiliation,possible_box_count,citizenship_support,native_language_support,spoken_written_language_support,writing_language_support,checked_box_count,score_share
http://www.wikidata.org/entity/Q106648902,Marie-Magdeleine de Bonafons,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q50942476,Marie-Marguerite Brun,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q50942476,Marie-Marguerite Brun,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q2423294,Marie-Pierre Fontaine,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q2423294,Marie-Pierre Fontaine,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q2366784,Marie-Thérèse Figueur,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q2366784,Marie-Thérèse Figueur,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q15144266,Marie-Thérèse Péroux Abany,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q15144266,Marie-Thérèse Péroux Abany,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q136325064,Marie-Thérèse Quiqueran de Beaujeu,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q136325064,Marie-Thérèse Quiqueran de Beaujeu,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q652013,Marie-Thérèse Reboul,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q652013,Marie-Thérèse Reboul,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q269865,Marie-Thérèse Rodet Geoffrin,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q269865,Marie-Thérèse Rodet Geoffrin,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q136704452,Marie-Victoire Frescarode,France,1,True,False,False,False,1,1.0
http://www.wikidata.org/entity/Q94624461,Marie-Émile Guillaume Duchosal,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q94624461,Marie-Émile Guillaume Duchosal,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q62287125,Marie-Émilie Maryon de Montanclos,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q62287125,Marie-Émilie Maryon de Montanclos,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q63485595,Mariette Moreaud Monnet,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q63485595,Mariette Moreaud Monnet,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q49478,Marivaux,France,4,True,False,False,False,1,0.25
http://www.wikidata.org/entity/Q49478,Marivaux,French,4,False,True,True,True,3,0.75
http://www.wikidata.org/entity/Q123867,Marquis de Sade,France,4,True,False,False,False,1,0.25
http://www.wikidata.org/entity/Q123867,Marquis de Sade,French,4,False,True,True,True,3,0.75
http://www.wikidata.org/entity/Q3295226,Martial Aubertin,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q3295226,Martial Aubertin,French,3,False,True,True,False,2,0.6667
http://www.wikidata.org/entity/Q591429,Martin Duhalde,Basque,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q591429,Martin Duhalde,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q591429,Martin Duhalde,French,3,False,True,True,False,2,0.6667
http://www.wikidata.org/entity/Q926616,Martinès de Pasqually,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q926616,Martinès de Pasqually,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q15407001,Mary Gay,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q15407001,Mary Gay,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q101638,Mary Wollstonecraft,Anglophone,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q101638,Mary Wollstonecraft,British,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q101638,Mary Wollstonecraft,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q101638,Mary Wollstonecraft,German,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q18576718,Mary de Bode,Anglophone,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q18576718,Mary de Bode,British,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q18576718,Mary de Bode,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q18576718,Mary de Bode,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q18576718,Mary de Bode,German,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q110701276,María Francisca Irene de Navia y Bellet,French,1,False,False,True,False,1,1.0
http://www.wikidata.org/entity/Q110701276,María Francisca Irene de Navia y Bellet,Spanish,1,False,False,True,False,1,1.0
http://www.wikidata.org/entity/Q6004534,María Rosa de Gálvez,French,4,False,False,True,False,1,0.25
http://www.wikidata.org/entity/Q6004534,María Rosa de Gálvez,Spanish,4,True,True,True,True,4,1.0
http://www.wikidata.org/entity/Q3297796,Masson de Morvillers,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q3297796,Masson de Morvillers,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q3298629,Mathieu Anibert,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q3298629,Mathieu Anibert,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q1381920,Mathieu Dumas,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q1381920,Mathieu Dumas,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q3298617,Mathieu-François Pidansat de Mairobert,France,4,True,False,False,False,1,0.25
http://www.wikidata.org/entity/Q3298617,Mathieu-François Pidansat de Mairobert,French,4,False,True,True,True,3,0.75
http://www.wikidata.org/entity/Q3298614,Mathieu-Guillaume-Thérèse Villenave,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q3298614,Mathieu-Guillaume-Thérèse Villenave,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q42762887,Mathieu-Jean-Baptiste Nioche de Tournay,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q42762887,Mathieu-Jean-Baptiste Nioche de Tournay,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q3299001,Mathurin-Joseph Boullault,France,4,True,False,False,False,1,0.25
http://www.wikidata.org/entity/Q3299001,Mathurin-Joseph Boullault,French,4,False,True,True,True,3,0.75
http://www.wikidata.org/entity/Q3299872,Matthieu Chiniac de La Bastide,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q3299872,Matthieu Chiniac de La Bastide,French,3,False,True,True,False,2,0.6667
http://www.wikidata.org/entity/Q93419,Maurice Beniowski,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q93419,Maurice Beniowski,German,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q93419,Maurice Beniowski,Germany,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q93419,Maurice Beniowski,Hungarian,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q93419,Maurice Beniowski,Polish,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q93419,Maurice Beniowski,Russian,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q93419,Maurice Beniowski,Slovak,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q76723,Maurice de Saxe,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q76723,Maurice de Saxe,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q76723,Maurice de Saxe,German,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q76723,Maurice de Saxe,Germany,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q76723,Maurice de Saxe,Russian,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q19896115,Maxime de Redon,France,2,True,False,False,False,1,0.5
