wikidata_id,person_id,name,candidate_affiliation_count,best_candidate_affiliation,top_candidate_affiliations,top_supporting_evidence_count,second_supporting_evidence_count,top_candidate_tie_count,available_mapped_evidence_count,total_evidence_fields,top_score_over_total_fields,top_score_over_available_fields,score_formula,available_score_formula
http://www.wikidata.org/entity/Q65863,Q65863,Luise Gottsched,4,,German | Germany,3,1,2,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q66314588,Q66314588,Marguerite Daubenton,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q664186,Q664186,Jacques-André Émery,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q666631,Q666631,Jacques-Antoine-Hippolyte de Guibert,2,France,France,4,2,1,6,8,0.5,0.6667,4 / 8,4 / 6
http://www.wikidata.org/entity/Q6687373,Q6687373,Louis-Henri-Scipion du Roure,2,France,France,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q6694,Q6694,Alexander von Humboldt,6,,German | Germany,5,2,2,7,8,0.625,0.7143,5 / 8,5 / 7
http://www.wikidata.org/entity/Q67201345,Q67201345,Françoise Chaumont,2,France,France,3,2,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q67219551,Q67219551,Guillaume Lavabre,1,France,France,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q675780,Q675780,Jean-Baptiste Willermoz,2,France,France,3,2,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q676747,Q676747,Pierre Ochs,3,Swiss,Swiss,3,1,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q6811387,Q6811387,Mélanie de Salignac,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q683660,Q683660,Johann Gaudenz von Salis-Seewis,4,Swiss,Swiss,4,2,1,6,8,0.5,0.6667,4 / 8,4 / 6
http://www.wikidata.org/entity/Q688658,Q688658,Firmin Abauzit,3,,France | French,3,2,2,6,8,0.375,0.5,3 / 8,3 / 6
http://www.wikidata.org/entity/Q691834,Q691834,Ennius Quirinus Visconti,2,,France | Italian,4,0,2,6,8,0.5,0.6667,4 / 8,4 / 6
http://www.wikidata.org/entity/Q7029666,Q7029666,Nicolas Gouin Dufief,4,,Anglophone | British | France | French,1,0,4,3,8,0.125,0.3333,1 / 8,1 / 3
http://www.wikidata.org/entity/Q70326,Q70326,Pierre-Augustin Caron de Beaumarchais,2,,France | French,3,0,2,6,8,0.375,0.5,3 / 8,3 / 6
http://www.wikidata.org/entity/Q705666,Q705666,Pierre Jean Georges Cabanis,2,France,France,4,3,1,7,8,0.5,0.5714,4 / 8,4 / 7
http://www.wikidata.org/entity/Q705830,Q705830,Jean-Baptiste Boyer d'Argens,4,,France | French,3,1,2,7,8,0.375,0.4286,3 / 8,3 / 7
http://www.wikidata.org/entity/Q706624,Q706624,Frédéric François Guillaume de Vaudoncourt,5,France,France,2,1,1,4,8,0.25,0.5,2 / 8,2 / 4
http://www.wikidata.org/entity/Q7068,Q7068,Julien Offray de La Mettrie,4,French,French,3,2,1,6,8,0.375,0.5,3 / 8,3 / 6
http://www.wikidata.org/entity/Q707898,Q707898,Guillaume Philibert Duhesme,3,,France | French,2,1,2,5,8,0.25,0.4,2 / 8,2 / 5
http://www.wikidata.org/entity/Q708435,Q708435,Stanisław Staszic,6,Polish,Polish,7,3,1,7,8,0.875,1.0,7 / 8,7 / 7
http://www.wikidata.org/entity/Q708732,Q708732,François Barbé-Marbois,5,France,France,5,3,1,8,8,0.625,0.625,5 / 8,5 / 8
http://www.wikidata.org/entity/Q708891,Q708891,Bertrand Barère,2,France,France,4,3,1,7,8,0.5,0.5714,4 / 8,4 / 7
http://www.wikidata.org/entity/Q708911,Q708911,Bernhard Henrik Crusell,6,Swedish,Swedish,6,1,1,6,8,0.75,1.0,6 / 8,6 / 6
http://www.wikidata.org/entity/Q709670,Q709670,Louis-Sébastien Mercier,2,France,France,4,3,1,7,8,0.5,0.5714,4 / 8,4 / 7
http://www.wikidata.org/entity/Q7104,Q7104,Paul Henri Thiry d’Holbach,5,,France | French | German,2,1,3,5,8,0.25,0.4,2 / 8,2 / 5
http://www.wikidata.org/entity/Q711842,Q711842,Pierre Laurent Buirette de Belloy,2,France,France,3,2,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q71302887,Q71302887,Friederike Henriette Wiesenhütten,2,French,French,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q713749,Q713749,Edmond-Charles Genêt,3,,France | French,2,1,2,5,8,0.25,0.4,2 / 8,2 / 5
http://www.wikidata.org/entity/Q713783,Q713783,Pierre Baour-Lormian,4,,France | French,3,1,2,6,8,0.375,0.5,3 / 8,3 / 6
