query (2),Unnamed: 1,Unnamed: 2,Unnamed: 3
person,personLabel,birth,viaf
http://www.wikidata.org/entity/Q18533664,David Etienne Choffin,1703-10-02T00:00:00Z,12735554
http://www.wikidata.org/entity/Q3263783,Louise Levesque,1703-11-23T00:00:00Z,47953
http://www.wikidata.org/entity/Q19918337,Antoine Pecquet,1704-01-01T00:00:00Z,9857645
http://www.wikidata.org/entity/Q19918337,Antoine Pecquet,1704-01-01T00:00:00Z,5800155191944782440009
http://www.wikidata.org/entity/Q83372266,Barthélemi Vionnet,1704-01-03T00:00:00Z,32006439
http://www.wikidata.org/entity/Q982034,Charles Pinot Duclos,1704-02-12T00:00:00Z,66731528
http://www.wikidata.org/entity/Q705830,"Jean-Baptiste de Boyer, Marquis d'Argens",1704-06-24T00:00:00Z,4925994
http://www.wikidata.org/entity/Q584990,Louis de Jaucourt,1704-09-16T00:00:00Z,51744988
http://www.wikidata.org/entity/Q3184871,Joseph Du Fresne de Francheville,1704-09-18T00:00:00Z,44396345
http://www.wikidata.org/entity/Q3263377,Louis de Blanchefort de Créquy,1704-11-08T00:00:00Z,
http://www.wikidata.org/entity/Q3287673,Marc-Antoine Taxil,1704-11-10T00:00:00Z,9146822121707381109
http://www.wikidata.org/entity/Q3291524,Marie-Anne de Roumier-Robert,1705-01-01T00:00:00Z,2569612
http://www.wikidata.org/entity/Q3291524,Marie-Anne de Roumier-Robert,1705-01-01T00:00:00Z,316114328
http://www.wikidata.org/entity/Q135640117,Ignace-Vincent Guillot de La Chassagne,1705-01-01T00:00:00Z,10159442
http://www.wikidata.org/entity/Q1677850,Jacques François Paul Aldonce Sade,1705-09-21T00:00:00Z,37035950
http://www.wikidata.org/entity/Q219622,Louis-Élisabeth de La Vergne de Tressan,1705-11-04T00:00:00Z,7657720
http://www.wikidata.org/entity/Q219622,Louis-Élisabeth de La Vergne de Tressan,1705-11-04T00:00:00Z,7425031
http://www.wikidata.org/entity/Q822205,Bernard-Joseph Saurin,1706-01-01T00:00:00Z,17233244
http://www.wikidata.org/entity/Q1093817,Jean-Baptiste Descamps,1706-08-28T00:00:00Z,122139894
http://www.wikidata.org/entity/Q1093817,Jean-Baptiste Descamps,1706-08-28T00:00:00Z,78752976
http://www.wikidata.org/entity/Q1093817,Jean-Baptiste Descamps,1706-08-28T00:00:00Z,295077399
http://www.wikidata.org/entity/Q3387459,Pierre de Bologne,1706-09-21T00:00:00Z,37254653
http://www.wikidata.org/entity/Q1871391,Louis Charles Fougeret de Monbron,1706-12-19T00:00:00Z,41840185
http://www.wikidata.org/entity/Q2850773,Anne-François Duperrier-Dumouriez,1707-01-01T00:00:00Z,7529091
http://www.wikidata.org/entity/Q2853472,Antoine-François Riccoboni,1707-01-01T00:00:00Z,41850266
http://www.wikidata.org/entity/Q3021602,Nicolas La Grange,1707-01-01T00:00:00Z,20839
http://www.wikidata.org/entity/Q3084011,François Blanchet,1707-01-26T00:00:00Z,4920671
http://www.wikidata.org/entity/Q733161,Claude Prosper Jolyot de Crébillon,1707-02-13T00:00:00Z,24600044
http://www.wikidata.org/entity/Q165534,Carlo Goldoni,1707-02-25T00:00:00Z,44299511
http://www.wikidata.org/entity/Q3382856,Pierre Antoine La Place,1707-03-01T00:00:00Z,29543734
http://www.wikidata.org/entity/Q229264,"Georges-Louis Leclerc, Comte de Buffon",1707-09-07T00:00:00Z,36915547
http://www.wikidata.org/entity/Q3164584,"Jean-Bernard, abbé Le Blanc",1707-12-03T00:00:00Z,2512077
http://www.wikidata.org/entity/Q3057385,Ernst Johann von Münnich,1707-12-30T00:00:00Z,54286930
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,1708-01-01T00:00:00Z,225735711
http://www.wikidata.org/entity/Q55456238,Pierre-Fulcrand de Rosset,1708-01-01T00:00:00Z,56693609
http://www.wikidata.org/entity/Q962501,Charles Armand René de La Trémoille,1708-01-14T00:00:00Z,56600541
http://www.wikidata.org/entity/Q2849282,Ange Goudar,1708-03-28T00:00:00Z,71391779
http://www.wikidata.org/entity/Q2976734,Claude-Henri de Fusée de Voisenon,1708-07-08T00:00:00Z,21146
