query (1),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
person,personLabel,birthYear,birthPlaceLabel,coords,occupations
http://www.wikidata.org/entity/Q1393531,Jean-Jacques Lefranc de Pompignan,1709,Montauban,Point(1.355 44.017222222),"dramaturge, poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q7104,Paul Henri Thiry d’Holbach,1723,Edesheim,Point(8.134444444 49.264166666),écrivain ou écrivaine
http://www.wikidata.org/entity/Q15975,Montesquieu,1689,château de La Brède,Point(-0.544166666 44.679166666),"écrivain ou écrivaine, romancier ou romancière"
http://www.wikidata.org/entity/Q3427107,Renée-Caroline-Victoire de Froulay,1714,Saint-Denis-de-Gastines,Point(-0.8575 48.341944444),écrivain ou écrivaine
http://www.wikidata.org/entity/Q21529023,Laurent Guazzesi,1708,Arezzo,Point(11.878055555 43.463055555),écrivain ou écrivaine
http://www.wikidata.org/entity/Q136105295,Mlle d’Alès de Corbet,1702,Blois,Point(1.327222222 47.593055555),écrivain ou écrivaine
http://www.wikidata.org/entity/Q711842,Pierre Laurent Buirette de Belloy,1727,Saint-Flour,Point(3.092777777 45.033611111),"dramaturge, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q3131750,Henri Paulin Panon Desbassayns,1732,Saint-Paul,Point(55.269722222 -21.009722222),diariste
http://www.wikidata.org/entity/Q3044508,Démétrius Stephanopoli de Comnène,1749,Cargèse,Point(8.594722222 42.135277777),écrivain ou écrivaine
http://www.wikidata.org/entity/Q126204715,Gabriel-André Aucler,1750,Argenton-sur-Creuse,Point(1.519166666 46.588888888),écrivain ou écrivaine
http://www.wikidata.org/entity/Q2853464,Antoine-François-Claude Ferrand,1751,Paris,Point(2.352222222 48.856666666),dramaturge
http://www.wikidata.org/entity/Q67201345,Françoise Chaumont,1738,Nancy,Point(6.183611111 48.692777777),dramaturge
http://www.wikidata.org/entity/Q48758405,Louis Bourlier,1764,Avesnières,Point(-0.763486 48.0598),poète ou poétesse
http://www.wikidata.org/entity/Q110369104,Jean-Baptiste Dufaÿ de Livoys,1771,Lorient,Point(-3.366388888 47.745833333),écrivain ou écrivaine
