occupation_id,occupation_label,occupation_wikidata_url,granular_bucket,bucket_family,bucket_method,manual_review_status,is_writerly_seen,is_nonwriter_seen,all_cohorts_entity_count,all_cohorts_assignment_count,notes,french_seed_entity_count,french_seed_assignment_count,global_writers_entity_count,global_writers_assignment_count
Q11293375,propriétaire de biens,https://www.wikidata.org/wiki/Q11293375,Economics / Commerce,Institutional power,label_rule:proprietaire de biens,suggested,False,True,3,4,,1,1,3,3
Q66495020,propriétaire terrien,https://www.wikidata.org/wiki/Q66495020,Economics / Commerce,Institutional power,label_rule:proprietaire terrien,suggested,False,True,3,3,,0,0,3,3
Q499143,précepteur,https://www.wikidata.org/wiki/Q499143,Education / Scholarship / Humanities,Intellectual systems,label_rule:precepteur,suggested,False,True,3,3,,0,0,3,3
Q1139055,receveur des finances,https://www.wikidata.org/wiki/Q1139055,Economics / Commerce,Institutional power,label_rule:receveur des finances,suggested,False,True,3,4,,1,1,3,3
Q3147441,recteur,https://www.wikidata.org/wiki/Q3147441,Education / Scholarship / Humanities,Intellectual systems,label_rule:recteur,suggested,False,True,3,5,,2,2,3,3
Q116263992,rhétoricien,https://www.wikidata.org/wiki/Q116263992,Writing / Literature,Literary and textual production,label_rule:rhetoricien,suggested,True,False,3,3,,0,0,3,3
Q763779,réformateur protestant,https://www.wikidata.org/wiki/Q763779,Education / Scholarship / Humanities,Intellectual systems,label_rule:formateur,suggested,False,True,3,4,,1,1,3,3
Q15991192,sanskritiste,https://www.wikidata.org/wiki/Q15991192,Translation / Philology / Languages,Literary and textual production,label_rule:sanskritiste,suggested,False,True,3,4,,1,1,3,3
Q21244999,scientifique de la forêt,https://www.wikidata.org/wiki/Q21244999,Science / Natural History,Scientific knowledge,label_rule:scientifique,suggested,False,True,3,3,,0,0,3,3
Q12806039,théoricien ou théoricienne militaire,https://www.wikidata.org/wiki/Q12806039,Military,Institutional power,label_rule:militaire,suggested,False,True,3,6,,3,3,3,3
Q10379007,théâtrologue,https://www.wikidata.org/wiki/Q10379007,Music / Performance / Theatre,Arts and performance,label_rule:theatrologue,suggested,False,True,3,3,,0,0,3,3
Q3704253,trader,https://www.wikidata.org/wiki/Q3704253,Economics / Commerce,Institutional power,label_rule:trader,suggested,False,True,3,3,,0,0,3,3
Q135216826,traducteur d'œuvres littéraires de William Shakespeare,https://www.wikidata.org/wiki/Q135216826,Translation / Philology / Languages,Literary and textual production,label_rule:traducteur,suggested,False,True,3,4,,1,1,3,3
Q13219637,violoncelliste,https://www.wikidata.org/wiki/Q13219637,Music / Performance / Theatre,Arts and performance,label_rule:violoncelliste,suggested,False,True,3,3,,0,0,3,3
Q1437754,xylographe,https://www.wikidata.org/wiki/Q1437754,Visual Arts / Architecture / Design,Arts and performance,label_rule:xylographe,suggested,False,True,3,3,,0,0,3,3
Q1368409,éleveur,https://www.wikidata.org/wiki/Q1368409,Craft / Trade / Industry,Material production,label_rule:eleveur,suggested,False,True,3,3,,0,0,3,3
Q29182,évêque,https://www.wikidata.org/wiki/Q29182,Religion / Theology,Intellectual systems,label_rule:eveque,suggested,False,True,3,4,,1,1,3,3
Q1370540,Akyn,https://www.wikidata.org/wiki/Q1370540,Writing / Literature,Literary and textual production,label_rule:akyn,suggested,False,True,2,2,,0,0,2,2
Q1714329,Justiciar,https://www.wikidata.org/wiki/Q1714329,Law / Administration,Institutional power,label_rule:justiciar,suggested,False,True,2,2,,0,0,2,2
Q21281706,administrateur académique,https://www.wikidata.org/wiki/Q21281706,Law / Administration,Institutional power,label_rule:administrateur,suggested,False,True,2,2,,0,0,2,2
Q15954519,alchimiste,https://www.wikidata.org/wiki/Q15954519,Science / Natural History,Scientific knowledge,label_rule:chimiste,suggested,False,True,2,3,,1,1,2,2
Q132851,amiral,https://www.wikidata.org/wiki/Q132851,Military,Institutional power,label_rule:amiral,suggested,False,True,2,2,,0,0,2,2
Q15983985,archéologue classique,https://www.wikidata.org/wiki/Q15983985,Education / Scholarship / Humanities,Intellectual systems,label_rule:archeologue,suggested,False,True,2,4,,2,2,2,2
Q26203955,auteur de contes,https://www.wikidata.org/wiki/Q26203955,Writing / Literature,Literary and textual production,label_rule:auteur,suggested,True,False,2,4,,2,2,2,2
Q978044,cadre dirigeant ou cadre dirigeante,https://www.wikidata.org/wiki/Q978044,Law / Administration,Institutional power,label_rule:dirigeant,suggested,False,True,2,3,,1,1,2,2
Q849424,capitaine de navire,https://www.wikidata.org/wiki/Q849424,Military,Institutional power,label_rule:capitaine,suggested,False,True,2,2,,0,0,2,2
Q27349,chirurgien-dentiste,https://www.wikidata.org/wiki/Q27349,Medicine / Health,Scientific knowledge,label_rule:chirurgien,suggested,False,True,2,3,,1,1,2,2
Q1086863,chroniqueur ou chroniqueuse,https://www.wikidata.org/wiki/Q1086863,Writing / Literature,Literary and textual production,label_rule:chroniqueur,suggested,True,False,2,3,,1,1,2,2
Q105200498,clerc anglican,https://www.wikidata.org/wiki/Q105200498,Religion / Theology,Intellectual systems,label_rule:clerc,suggested,False,True,2,2,,0,0,2,2
Q109120509,collectionneur ou collectionneuse zoologique,https://www.wikidata.org/wiki/Q109120509,Sociability / Patronage / Court,Social and cultural mediation,label_rule:collectionneur ou collectionneuse,suggested,False,True,2,2,,0,0,2,2
Q12716225,contre-révolutionnaire,https://www.wikidata.org/wiki/Q12716225,Politics / Statecraft / Diplomacy,Institutional power,label_rule:revolutionnaire,suggested,False,True,2,3,,1,1,2,2
Q10498147,explorateur scientifique,https://www.wikidata.org/wiki/Q10498147,Writing / Literature,Literary and textual production,label_rule:orateur,suggested,False,True,2,3,,1,1,2,2
Q1955150,fabricant ou fabricante d'instruments de musique,https://www.wikidata.org/wiki/Q1955150,Craft / Trade / Industry,Material production,label_rule:fabricant,suggested,False,True,2,3,,1,1,2,2
Q1937431,facteur ou factrice d'orgues,https://www.wikidata.org/wiki/Q1937431,Music / Performance / Theatre,Arts and performance,label_rule:acteur,suggested,False,True,2,3,,1,1,2,2
Q50376727,fermier général,https://www.wikidata.org/wiki/Q50376727,Military,Institutional power,label_rule:general,suggested,False,True,2,4,,2,2,2,2
Q11626664,fonctionnaire de la cour,https://www.wikidata.org/wiki/Q11626664,Law / Administration,Institutional power,label_rule:fonctionnaire,suggested,False,True,2,2,,0,0,2,2
Q124307554,generalfiskal,https://www.wikidata.org/wiki/Q124307554,Military,Institutional power,label_rule:general,suggested,False,True,2,2,,0,0,2,2
Q2596569,gouvernante,https://www.wikidata.org/wiki/Q2596569,Education / Scholarship / Humanities,Intellectual systems,label_rule:gouvernante,suggested,False,True,2,2,,0,0,2,2
Q17489339,historien moderniste,https://www.wikidata.org/wiki/Q17489339,Education / Scholarship / Humanities,Intellectual systems,label_rule:historien,suggested,False,True,2,2,,0,0,2,2
Q11486702,historien ou historienne de l'architecture,https://www.wikidata.org/wiki/Q11486702,Education / Scholarship / Humanities,Intellectual systems,label_rule:historien,suggested,False,True,2,3,,1,1,2,2
Q24265174,historien ou historienne de la philosophie,https://www.wikidata.org/wiki/Q24265174,Education / Scholarship / Humanities,Intellectual systems,label_rule:historien,suggested,False,True,2,2,,0,0,2,2
Q2700922,horloger,https://www.wikidata.org/wiki/Q2700922,Engineering / Technology,Scientific knowledge,label_rule:horloger,suggested,False,True,2,2,,0,0,2,2
Q4205432,ichtyologiste,https://www.wikidata.org/wiki/Q4205432,Science / Natural History,Scientific knowledge,label_rule:ichtyologiste,suggested,False,True,2,4,,2,2,2,2
Q6731168,magistrate,https://www.wikidata.org/wiki/Q6731168,Law / Administration,Institutional power,label_rule:magistrat,suggested,False,True,2,2,,0,0,2,2
Q1623209,maréchal de la cour,https://www.wikidata.org/wiki/Q1623209,Military,Institutional power,label_rule:marechal,suggested,False,True,2,2,,0,0,2,2
Q327029,mécanicien ou mécanicienne,https://www.wikidata.org/wiki/Q327029,Engineering / Technology,Scientific knowledge,label_rule:mecanicien,suggested,False,True,2,3,,1,1,2,2
Q12038843,navigateur ou navigatrice,https://www.wikidata.org/wiki/Q12038843,Travel / Geography / Exploration,Mobility and empire,label_rule:navigateur,suggested,False,True,2,3,,1,1,2,2
