wikidata_id,person_id,name,birth_year_values,birth_place_values,birth_scope_category,birth_place_labels
http://www.wikidata.org/entity/Q112378920,Q112378920,Antonín Chloupek,1714,,europe,Střelice
http://www.wikidata.org/entity/Q10853839,Q10853839,Antonín Ferdinand Dubravius,1690,,europe,Příbor | Zaječí
http://www.wikidata.org/entity/Q95174837,Q95174837,Antonín Guth,1773,,europe,Litomyšl
http://www.wikidata.org/entity/Q3492342,Q3492342,Antonín Jaroslav Puchmajer,1769,,europe,Týn nad Vltavou
http://www.wikidata.org/entity/Q10853936,Q10853936,Antonín Josef Zíma,1763,,europe,Tábor
http://www.wikidata.org/entity/Q608517,Q608517,Antonín Koniáš,1691,,europe,Prague
http://www.wikidata.org/entity/Q18745773,Q18745773,Antonín Presl,1718,,europe,Uherské Hradiště
http://www.wikidata.org/entity/Q25500733,Q25500733,Antun Vranić,1764,,europe,Karlovac
http://www.wikidata.org/entity/Q23771079,Q23771079,António Henriques da Silveira,1725,,europe,Estremoz
http://www.wikidata.org/entity/Q621023,Q621023,Appiano Buonafede,1716,,europe,Comacchio
http://www.wikidata.org/entity/Q47468614,Q47468614,Arcangelo Leanti,1701,,europe,Palerme
http://www.wikidata.org/entity/Q123495906,Q123495906,Arnaldo Giacomo Tornieri,1762,,europe,Vicence
http://www.wikidata.org/entity/Q18616404,Q18616404,Arnold Christian Beuthner,1689,,europe,Hambourg
http://www.wikidata.org/entity/Q55126106,Q55126106,Arnold Heinrich Sahme,1676,,europe,Kaliningrad | Königsberg
http://www.wikidata.org/entity/Q2101959,Q2101959,Arnold Hoogvliet,1687,,europe,Flardingue
http://www.wikidata.org/entity/Q95229251,Q95229251,Arnold Joseph von Hommer,1761,,europe,Coblence
http://www.wikidata.org/entity/Q22920777,Q22920777,Arnout Vosmaer,1720,,europe,Rotterdam
http://www.wikidata.org/entity/Q21848486,Q21848486,Arsen Glič,1724,,europe,Graz
http://www.wikidata.org/entity/Q4236584,Q4236584,Arsenij Kocak,1737,,europe,Bukovče (district Stropkov)
http://www.wikidata.org/entity/Q16859569,Q16859569,Arthur Bowes Smyth,1750,,europe,Tolleshunt D'Arcy
http://www.wikidata.org/entity/Q4813230,Q4813230,Athanásios Pários,1723,,europe,Kóstos | Páros
http://www.wikidata.org/entity/Q19502014,Q19502014,August Gottlieb Ludwig Hering,1736,,europe,Szczecin
http://www.wikidata.org/entity/Q60841955,Q60841955,August Jakob Bohl,1762,,europe,Baden-Baden
http://www.wikidata.org/entity/Q55673468,Q55673468,August Karl Friedrich Werlich,1772,,europe,Rudolstadt
http://www.wikidata.org/entity/Q95232270,Q95232270,August Ludwig Friedrich Benjamin Wismar,1768,,europe,Magdebourg
http://www.wikidata.org/entity/Q94871548,Q94871548,August Schröder,1772,,europe,Anklam
http://www.wikidata.org/entity/Q19721057,Q19721057,August Wilhelm Bernhard Uechtritz,1752,,europe,Borna
http://www.wikidata.org/entity/Q94828481,Q94828481,August Wilhelm Meyer,1770,,europe,Bad Gandersheim
http://www.wikidata.org/entity/Q55874962,Q55874962,Augusta Elisabeth von Posadowsky,1715,,europe,Brunswick
http://www.wikidata.org/entity/Q60845151,Q60845151,Auguste Pierre Damiens de Gomicourt,1723,,europe,Amiens
http://www.wikidata.org/entity/Q95124234,Q95124234,Augustin Kuča,1763,,europe,Kromeriz
http://www.wikidata.org/entity/Q19133015,Q19133015,Augustin Zitte,1750,,europe,Česká Lípa
http://www.wikidata.org/entity/Q95067615,Q95067615,Augustus Grewer,1700,,europe,Leipzig
http://www.wikidata.org/entity/Q775717,Q775717,Aurelio de' Giorgi Bertola,1753,,europe,Rimini
http://www.wikidata.org/entity/Q58423303,Q58423303,Avakumovics Avakum,1774,,europe,Szentendre
http://www.wikidata.org/entity/Q18120872,Q18120872,Avraham Ḥalfon,1735,,europe,Livourne
http://www.wikidata.org/entity/Q43255423,Q43255423,Baldassare Odescalchi,1748,,europe,Rome
http://www.wikidata.org/entity/Q104978014,Q104978014,Baldassarre Martini,1723,,europe,Riva del Garda
http://www.wikidata.org/entity/Q800340,Q800340,Balme Asmussen,1769,,europe,Dagebüll
http://www.wikidata.org/entity/Q112494956,Q112494956,Balthasar Hausknecht,1735,,europe,Drwalewice
http://www.wikidata.org/entity/Q107635246,Q107635246,Barend Nieuwenhuizen,1771,,europe,Nootdorp
http://www.wikidata.org/entity/Q12748716,Q12748716,Baro Bošković,1699,,europe,Dubrovnik
http://www.wikidata.org/entity/Q95215978,Q95215978,Barthold Heinrich Brockes,1715,,europe,Hambourg
http://www.wikidata.org/entity/Q110040629,Q110040629,Barthélemy-Claude Graillard de Graville,1727,,europe,Paris
