token_family,token_id,token_label,token_wikidata_url,occurrence_count,entity_count,example_names
citizenship,Q77,,https://www.wikidata.org/wiki/Q77,8,8,Antoine-Joseph Pernety | Francisco Cabello y Mesa | Félix de Azara | Jacinto Ventura de Molina | Joaquín Lencina | José Manuel Pérez Castellano | José Manuel Úbeda | José Prego de Oliver
citizenship,Q881,,https://www.wikidata.org/wiki/Q881,8,8,Hồ Xuân Hương | Lê Ngọc Hân | Nguyễn Du | Nguyễn Gia Thiều | Phan Huy Ích | Trịnh Cương | Vũ Miên | Đặng Trần Côn
native_language,Q33810,,https://www.wikidata.org/wiki/Q33810,8,8,Abhimanyu Samanta Singhara | Bahuda Dasa | Banamali Dasa | Bhakta Charana | Biswanath Khuntia | Brajanath Badajena | Hadidas | Kabi Surya Brahma
spoken_written_language,Q33810,,https://www.wikidata.org/wiki/Q33810,8,8,Abhimanyu Samanta Singhara | Bahuda Dasa | Banamali Dasa | Bhakta Charana | Biswanath Khuntia | Brajanath Badajena | Hadidas | Kabi Surya Brahma
spoken_written_language,Q58635,,https://www.wikidata.org/wiki/Q58635,8,8,Ali Haidar | Bulleh Shah | Hamad | Hashim | Q20606273 | Sachal Sarmast | Saleh Muhammad Safoori | Waris Shah
spoken_written_language,Q8798,,https://www.wikidata.org/wiki/Q8798,8,8,Hryhoriy Skovoroda | Ivan Kotliarevsky | Ivan Yuhasevych-Skliarsky | Klimentìj Zinovìïv | Maksym Berlynskyi | Q12133324 | Semen Klymovskyi | Stepan Lukomsky
spoken_written_language,Q9078,,https://www.wikidata.org/wiki/Q9078,8,8,Agatha Lovisa de la Myle | Alexander Johann Stender | Christoph Harder | Georg Siegmund von Bilterling | Gothards Fridrichs Stenders | Karl Gotthard Elverfeld | K̦ikul̦a Jēkabs | Michael Roth
writing_language,Q9309,,https://www.wikidata.org/wiki/Q9309,8,8,David Richards | John Jones | Joseph Harris | Thomas Jones | Titus Lewis | Twm o'r Nant | William Owen Pughe | William Williams Pantycelyn
citizenship,Q170603,,https://www.wikidata.org/wiki/Q170603,7,7,Cayetano Cabrera y Quintero | José Eduardo de Cárdenas | José Ignacio Bartolache | José Rafael Campoy | Juan de Arriola | Mariano (Álbaro) Barazábal | María Anna Águeda de San Ignacio
citizenship,Q230,,https://www.wikidata.org/wiki/Q230,7,7,David Bagration | Giorgi Avalichvili | Ketevan de Géorgie | Princess Mariam of Georgia | Teimouraz II de Kakhétie | Timote Gabashvili | Vakhtang VI de Karthli
spoken_written_language,Q5137,,https://www.wikidata.org/wiki/Q5137,7,7,Bapusaheb Gaekwar | Dheera Bhagat | Muktanand Swami | Muldas | Nishkulanand Swami | Ranchhodji Diwan | Shamal Bhatt
