slice_id,context_label,context_order,metric,metric_label,entity_count,denominator,pct,notes,aggregation_level,gender_category,granular_bucket,bucket_family
france,France,0,low_evidence_affiliation,Low-evidence affiliation,294,2903,10.13,Top affiliation candidate is supported by zero or one mapped evidence field.,context_bucket,All genders,Writing / Literature,Literary and textual production
france,France,0,missing_country_of_citizenship,Missing citizenship,523,2903,18.02,Entity has no Wikidata country-of-citizenship value.,context_bucket,All genders,Writing / Literature,Literary and textual production
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,2903,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_bucket,All genders,Writing / Literature,Literary and textual production
france,France,0,no_place_context,No place context,192,2903,6.61,Entity has no mapped birth/death/residence/work-location evidence.,context_bucket,All genders,Writing / Literature,Literary and textual production
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,606,2903,20.87,Entity has no article in the tracked language-edition matrix.,context_bucket,All genders,Writing / Literature,Literary and textual production
france,France,0,top_affiliation_tie,Top affiliation tie,721,2903,24.84,Entity has more than one top-ranked affiliation candidate.,context_bucket,All genders,Writing / Literature,Literary and textual production
france,France,0,low_evidence_affiliation,Low-evidence affiliation,68,372,18.28,Top affiliation candidate is supported by zero or one mapped evidence field.,context_gender,female,All occupation buckets,All occupation evidence
france,France,0,missing_country_of_citizenship,Missing citizenship,35,372,9.41,Entity has no Wikidata country-of-citizenship value.,context_gender,female,All occupation buckets,All occupation evidence
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,372,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_gender,female,All occupation buckets,All occupation evidence
france,France,0,no_place_context,No place context,69,372,18.55,Entity has no mapped birth/death/residence/work-location evidence.,context_gender,female,All occupation buckets,All occupation evidence
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,100,372,26.88,Entity has no article in the tracked language-edition matrix.,context_gender,female,All occupation buckets,All occupation evidence
france,France,0,top_affiliation_tie,Top affiliation tie,105,372,28.23,Entity has more than one top-ranked affiliation candidate.,context_gender,female,All occupation buckets,All occupation evidence
france,France,0,low_evidence_affiliation,Low-evidence affiliation,226,2544,8.88,Top affiliation candidate is supported by zero or one mapped evidence field.,context_gender,male,All occupation buckets,All occupation evidence
france,France,0,missing_country_of_citizenship,Missing citizenship,487,2544,19.14,Entity has no Wikidata country-of-citizenship value.,context_gender,male,All occupation buckets,All occupation evidence
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,2544,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_gender,male,All occupation buckets,All occupation evidence
france,France,0,no_place_context,No place context,124,2544,4.87,Entity has no mapped birth/death/residence/work-location evidence.,context_gender,male,All occupation buckets,All occupation evidence
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,509,2544,20.01,Entity has no article in the tracked language-edition matrix.,context_gender,male,All occupation buckets,All occupation evidence
france,France,0,top_affiliation_tie,Top affiliation tie,620,2544,24.37,Entity has more than one top-ranked affiliation candidate.,context_gender,male,All occupation buckets,All occupation evidence
france,France,0,low_evidence_affiliation,Low-evidence affiliation,0,1,0.0,Top affiliation candidate is supported by zero or one mapped evidence field.,context_gender,multiple_or_ambiguous,All occupation buckets,All occupation evidence
france,France,0,missing_country_of_citizenship,Missing citizenship,0,1,0.0,Entity has no Wikidata country-of-citizenship value.,context_gender,multiple_or_ambiguous,All occupation buckets,All occupation evidence
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,1,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_gender,multiple_or_ambiguous,All occupation buckets,All occupation evidence
france,France,0,no_place_context,No place context,0,1,0.0,Entity has no mapped birth/death/residence/work-location evidence.,context_gender,multiple_or_ambiguous,All occupation buckets,All occupation evidence
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,0,1,0.0,Entity has no article in the tracked language-edition matrix.,context_gender,multiple_or_ambiguous,All occupation buckets,All occupation evidence
france,France,0,top_affiliation_tie,Top affiliation tie,1,1,100.0,Entity has more than one top-ranked affiliation candidate.,context_gender,multiple_or_ambiguous,All occupation buckets,All occupation evidence
france,France,0,low_evidence_affiliation,Low-evidence affiliation,3,5,60.0,Top affiliation candidate is supported by zero or one mapped evidence field.,context_gender,unknown,All occupation buckets,All occupation evidence
france,France,0,missing_country_of_citizenship,Missing citizenship,4,5,80.0,Entity has no Wikidata country-of-citizenship value.,context_gender,unknown,All occupation buckets,All occupation evidence
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,5,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_gender,unknown,All occupation buckets,All occupation evidence
france,France,0,no_place_context,No place context,0,5,0.0,Entity has no mapped birth/death/residence/work-location evidence.,context_gender,unknown,All occupation buckets,All occupation evidence
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,4,5,80.0,Entity has no article in the tracked language-edition matrix.,context_gender,unknown,All occupation buckets,All occupation evidence
