wikidata_id,name,candidate_affiliation_count,best_candidate_affiliation,top_candidate_affiliations,top_checked_box_count,second_checked_box_count,top_score_share,top_candidate_tie_count,affiliation_review_status
http://www.wikidata.org/entity/Q55126612,Aemil Ludwig Philipp Schröder,1,German,German,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q55892269,Aemilian Janitsch,1,German,German,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q59529497,Aeneas Anderson,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q124620578,Aeneas Egbertus Veldcamps,1,Dutch,Dutch,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q4264852,Afanasiy Lobysevich,1,Russian,Russian,3,0,1.0,1,strong
http://www.wikidata.org/entity/Q11904263,Afsus,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q4690878,Afzal Khan Khattak,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q16329078,Agapios Landos,3,,Greek | Italian,2,2,0.6667,2,mixed_top_score
http://www.wikidata.org/entity/Q4691501,Agatha Lovisa de la Myle,4,German,German,2,1,0.6667,1,tentative
http://www.wikidata.org/entity/Q19755806,Agatha Maria Sena,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q114566986,Agatino Sozzi,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q49219472,Aglaé Adanson,2,French,French,2,1,0.6667,1,tentative
http://www.wikidata.org/entity/Q16147344,Agnes Bulmer,2,,Anglophone | British,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q18729931,Agnes Lyon,1,British,British,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q4693079,Agnes Maclehose,1,British,British,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q18783542,Agnes Porter,2,,Anglophone | British,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q18935963,Agnes Wheeler,1,British,British,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q55905788,Agnes zu Stolberg-Stolberg,1,German,German,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q94741447,Agnetha Susanna Johanna Lebrecht,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q2827000,Agnès Maria Bennett,2,,Anglophone | British,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q16271474,Agostino Chigi Albani della Rovere,1,Italian,Italian,3,0,1.0,1,strong
http://www.wikidata.org/entity/Q109854453,Agostino Palazzi,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q3606801,Agostino Paradisi,1,Italian,Italian,2,0,1.0,1,tentative
http://www.wikidata.org/entity/Q15629896,Agostino Peruzzi,1,Italian,Italian,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q110878529,Agostino Saraceni,1,Italian,Italian,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q3606828,Agostino Tana,1,Italian,Italian,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q3606739,Agostino dal Pozzo,1,Italian,Italian,1,0,1.0,1,single_signal
